lambda1,P11_Pow(I1),P11_Pow(I2),P11_Exp(I1),P11_Exp(I2),P11_Pow(I4),P11_Pow(I6),P11_Exp(I4),P11_Exp(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Exp(I1),P22_Exp(I2),P22_Pow(I4),P22_Pow(I6),P22_Exp(I4),P22_Exp(I6)
1.1313131313131313,0.04562341588109519,0.10852298158452846,0.003836874737005382,0.003698599865609464,0.00011109875159967108,0.0063124532035265385,4.8217343488021666e-05,0.019811920761989135,1.1313131313131313,0.006843512382164276,0.01627844723767973,0.0005755312105508076,0.0005547899798414369,0.0,0.0,0.0,0.0
1.1333333333333333,0.049240653961452246,0.11716877950407713,0.004139842308666312,0.003997452176589274,0.00011284836869788963,0.006376268011439882,4.899238827694267e-05,0.01998946963418463,1.1333333333333333,0.0073860980942178365,0.017575316925611553,0.0006209763462999468,0.0005996178264883912,0.0,0.0,0.0,0.0
1.1353535353535353,0.05308285778853245,0.12634804003271244,0.004461748307655213,0.004315325267673487,0.00011459917938057653,0.0064393563565644674,4.9768468452054845e-05,0.020164554514318984,1.1353535353535353,0.007962428668279868,0.018952206004906866,0.000669262246148282,0.000647298790151023,0.0,0.0,0.0,0.0
1.1373737373737374,0.057160302555252444,0.13608419642812053,0.0048034981692570144,0.004653137195298792,0.0001163511823360022,0.006501727779536003,5.0545585370105807e-05,0.02033721696966894,1.1373737373737374,0.008574045383287798,0.020412629464218596,0.0007205247253885522,0.0006979705792948326,0.0,0.0,0.0,0.0
1.1393939393939394,0.061483570643293566,0.1464012930419379,0.005166031712923576,0.00501184136691913,0.00011810437625620702,0.0065633916790646995,5.132374039356526e-05,0.020507497733733657,1.1393939393939394,0.009222535596493898,0.02196019395628964,0.0007749047569385287,0.0007517762050378346,0.0,0.0,0.0,0.0
1.1414141414141414,0.06606355642537837,0.15732398991800758,0.005550324658578361,0.0053924282624827884,0.00011985875983698308,0.006624357314293018,5.210293489062544e-05,0.02067543672569122,1.1414141414141414,0.00990953346380683,0.02359859848770112,0.0008325486987867542,0.0008088642393724182,0.0,0.0,0.0,0.0
1.1434343434343435,0.07091147110430619,0.16887756732359094,0.005957390256195847,0.005795927300418569,0.0001216143317778576,0.00668463380711019,5.288317023520209e-05,0.020841073069337475,1.1434343434343435,0.010636720665646013,0.02533163509853864,0.0008936085384293863,0.0008693890950627786,0.0,0.0,0.0,0.0
1.1454545454545455,0.07603884758998954,0.18108793021649786,0.0063882810378737736,0.0062234088601631895,0.00012337109078207527,0.0067442301444243305,5.3664447806936125e-05,0.02100444511152249,1.1454545454545455,0.01140582713849843,0.027163189532475034,0.0009582421556810658,0.0009335113290244962,0.0,0.0,0.0,0.0
1.1474747474747475,0.08145754541573874,0.19398161265174932,0.006844090702310277,0.006675986474191227,0.00012512903555658087,0.006803155180393047,5.44467689911936e-05,0.021165590440099767,1.1474747474747475,0.012218631812360811,0.02909724189776176,0.0010266136053465416,0.001001397971128668,0.0,0.0,0.0,0.0
1.1494949494949496,0.08717975569503347,0.20758578213065218,0.0073259561423487385,0.007154819203469002,0.00012688816481200326,0.006861417638613326,5.5230135179067916e-05,0.02132454590140244,1.1494949494949496,0.013076963354254928,0.031137867319597827,0.0010988934213523103,0.0010732228805203426,0.0,0.0,0.0,0.0
1.1515151515151514,0.0932180061199595,0.22192824389553345,0.007835059627057035,0.0076611142113381415,0.00012864847726263672,0.006919026114271538,5.601454776738021e-05,0.02148134761726056,1.1515151515151514,0.013982700917993923,0.03328923658433075,0.001175258944058556,0.0011491671317007412,0.0,0.0,0.0,0.0
1.1535353535353534,0.09958516600256673,0.2370374451729743,0.008372631150692637,0.008196129551987688,0.00013040997162642575,0.006975989076254364,5.680000815868141e-05,0.021636031001573047,1.1535353535353534,0.01493777490038501,0.03555561677594696,0.0012558946726038956,0.0012294194327981734,0.0,0.0,0.0,0.0
1.1555555555555554,0.10629445136029336,0.252942479368451,0.008939950961848164,0.008761177190942552,0.00013217264662494733,0.007032314869221356,5.7586517761252885e-05,0.02178863077644708,1.1555555555555554,0.015944167704043905,0.037941371905267654,0.0013409926442772247,0.001314176578641384,0.0,0.0,0.0,0.0
1.1575757575757575,0.11335943004664803,0.2696730902151993,0.009538352287107277,0.009357626276383353,0.0001339365009833945,0.007088011715640009,5.8374077989108126e-05,0.021939180987917986,1.1575757575757575,0.017003914506997314,0.0404509635322799,0.0014307528430660915,0.001403643941457502,0.0,0.0,0.0,0.0
1.1595959595959595,0.120794026928361,0.2872596758800538,0.010169224264663301,0.009986906681620101,0.00013570153343056036,0.007143087717783965,5.9162690261994644e-05,0.022087715021261542,1.1595959595959595,0.01811910403925415,0.04308895138200889,0.0015253836396994947,0.0014980360022430394,0.0,0.0,0.0,0.0
1.1616161616161615,0.12861252911009965,0.305733293028779,0.01083401510456384,0.010650512840692036,0.00013746774269882025,0.007197550859695184,5.995235600539468e-05,0.022234265615910742,1.1616161616161615,0.01929187936651516,0.045859993954318126,0.0016251022656846015,0.0015975769261038842,0.0,0.0,0.0,0.0
1.1636363636363636,0.13682959120795204,0.3251256608535132,0.01153423549357712,0.011350007900878936,0.00013923512752411782,0.007251409009110688,6.074307665052768e-05,0.022378864879988292,1.1636363636363636,0.020524438681192685,0.04876884912802698,0.001730135324036568,0.0017025011851318406,0.0,0.0,0.0,0.0
