lambda1,P11_Pow(I1),P11_Pow(I2),P11_Cosh(I1),P11_Cosh(I2),P11_Sinh(I1),P11_Sinh(I2),P11_Cosh(I4),P11_Cosh(I6),P11_Sinh(I4),P11_Sinh(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Cosh(I1),P22_Cosh(I2),P22_Sinh(I1),P22_Sinh(I2),P22_Cosh(I4),P22_Cosh(I6),P22_Sinh(I4),P22_Sinh(I6)
1.0909090909090908,0.006002420575663429,0.015165439465256324,0.0006661971435207095,0.0007099374990850588,0.0007691230207907194,0.0008302025854503541,1.0257685686228486e-05,0.00020608081805160227,3.066941153199629e-05,0.023151760115410626,1.0909090909090908,0.0009003630863495144,0.002274815919788449,9.992957152810643e-05,0.00010649062486275895,0.00011536845311860527,0.00012453038781755314,0.0,0.0,0.0,0.0
1.0929292929292929,0.006705420992337467,0.01700129253164926,0.0007419628930756127,0.0007952256566213373,0.0008611213160552226,0.0009323219916128611,1.053717592866636e-05,0.0002046510960022173,3.1364187034554816e-05,0.023531008714769305,1.0929292929292929,0.0010058131488506583,0.0025501938797474932,0.0001112944339613451,0.00011928384849320628,0.00012916819740828908,0.0001398482987419371,0.0,0.0,0.0,0.0
1.094949494949495,0.007472594610367485,0.019010007882657713,0.000824403010463728,0.0008884732203017035,0.000961737102908986,0.0010442443292201296,1.0819088362054264e-05,0.00020315148179238162,3.2059531326047476e-05,0.023905847015463527,1.094949494949495,0.0011208891915551228,0.002851501182398657,0.0001236604515695592,0.0001332709830452554,0.0001442605654363511,0.0001566366493830196,0.0,0.0,0.0,0.0
1.096969696969697,0.008308208731729726,0.02120333236975108,0.0009139419060930127,0.0009902156656380926,0.0010715629502563934,0.001166652470336608,1.1103434946852537e-05,0.00020158759461489116,3.275544402611837e-05,0.024276343664076903,1.096969696969697,0.0012462313097594585,0.003180499855462662,0.00013709128591395011,0.00014853234984571405,0.00016073444253846222,0.0001749978705504912,0.0,0.0,0.0,0.0
1.098989898989899,0.00921671292619635,0.023593506173741296,0.0010110211358729257,0.0011010108225392575,0.0011912179939264865,0.00130025901765393,1.1390227676572398e-05,0.0001999647481417795,3.345192475759178e-05,0.02464256580642163,1.098989898989899,0.0013825069389294526,0.0035390259260611903,0.00015165317038093887,0.00016515162338088862,0.00017868269908897298,0.00019503885264808953,0.0,0.0,0.0,0.0
1.101010101010101,0.010202742705415442,0.026193270268525796,0.0011160997437457507,0.0012214392515452366,0.0013213485224561389,0.0014458067939834118,1.1679478577821535e-05,0.00019828796579417674,3.414897314647054e-05,0.025004579131041926,1.101010101010101,0.001530411405812268,0.003928990540278545,0.00016741496156185865,0.00018321588773176996,0.00019820227836841363,0.00021687101909749511,0.0,0.0,0.0,0.0
1.103030303030303,0.011271123203321697,0.029015873736685845,0.0012296546099382017,0.0013521046213872956,0.0014626285647597677,0.0016040693232935277,1.1971199710349675e-05,0.00019656199525934165,3.484658882193565e-05,0.025362447911216814,1.103030303030303,0.001690668480498333,0.00435238106050317,0.0001844481914907367,0.000202815693208111,0.00021939428471397322,0.00024061039849404442,0.0,0.0,0.0,0.0
1.105050505050505,0.012426872864183232,0.032075080941249084,0.0013521808055936922,0.0014936340889048715,0.0016157604799926922,0.0017758513038002854,1.2265403167094536e-05,0.00019479132229245118,3.554477141634425e-05,0.02571623504551923,1.105050505050505,0.0018640309296274837,0.004811262141187362,0.00020282712083905384,0.00022404511333573048,0.00024236407199890384,0.0002663776955700431,0.0,0.0,0.0,0.0
1.107070707070707,0.013675207139535309,0.035385178557764914,0.0014841919544796526,0.001646678682406133,0.001781475549946344,0.001961989073686173,1.2562101074227751e-05,0.00019298018383879945,3.6243520565229905e-05,0.026066002096986902,1.107070707070707,0.0020512810709302654,0.005307776783664737,0.0002226287931719479,0.0002470018023609202,0.0002672213324919516,0.0002942983610529218,0.0,0.0,0.0,0.0
1.1090909090909091,0.015021542195286649,0.03896098247108561,0.0016262206025088653,0.0018119136896382856,0.001960534574361408,0.002163351070128135,1.2861305591201018e-05,0.00019113258051024667,3.6942835907300775e-05,0.02641180933095707,1.1090909090909091,0.0022532313292929975,0.0058441473706628425,0.00024393309037632982,0.0002717870534457434,0.00029408018615421124,0.0003245026605192247,0.0,0.0,0.0,0.0
